epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,19.22,1.10034,0.83532,1.15069,0.97932,0.96755,0.99,0.63859,1.29063,1.02117,1.31307,0.00125881,0.00125881,0.00125881
43,19.6351,1.02616,0.91835,1.11371,0.97932,0.96755,0.99,0.63859,1.29063,1.02117,1.31307,0.00128602,0.00128602,0.00128602
44,20.0645,0.98089,0.9305,1.05901,0.96053,0.98485,0.995,0.6024,1.39651,1.13472,1.36536,0.00131309,0.00131309,0.00131309
45,20.4811,0.91423,0.89155,1.05376,0.96053,0.98485,0.995,0.6024,1.39651,1.13472,1.36536,0.00134001,0.00134001,0.00134001
46,20.9,1.08946,0.90568,1.08855,0.92931,0.97738,0.99326,0.657,1.23698,1.20055,1.27411,0.00136679,0.00136679,0.00136679
47,21.3082,0.96531,0.82442,1.06481,0.92931,0.97738,0.99326,0.657,1.23698,1.20055,1.27411,0.00139342,0.00139342,0.00139342
48,21.73,1.0016,0.87329,1.12733,0.8799,0.92132,0.97305,0.65729,1.28301,1.32983,1.28856,0.0014199,0.0014199,0.0014199
49,22.1419,0.90628,0.77663,1.019,0.8799,0.92132,0.97305,0.65729,1.28301,1.32983,1.28856,0.00144624,0.00144624,0.00144624
50,22.5573,1.04288,0.95525,1.09712,0.85828,0.89958,0.97702,0.61551,1.34898,1.26546,1.3158,0.00147242,0.00147242,0.00147242
51,22.9667,0.96759,0.82715,1.0609,0.85828,0.89958,0.97702,0.61551,1.34898,1.26546,1.3158,0.00148363,0.00148363,0.00148363
52,23.3743,0.88002,0.83883,1.07938,0.93165,0.80957,0.96816,0.66665,1.13975,0.98816,1.19448,0.00147996,0.00147996,0.00147996
53,23.7932,1.10763,0.92485,1.10042,0.93165,0.80957,0.96816,0.66665,1.13975,0.98816,1.19448,0.0014763,0.0014763,0.0014763
54,24.22,1.00602,0.85092,1.08629,0.90835,0.93281,0.99182,0.66988,1.19917,0.95649,1.26651,0.00147263,0.00147263,0.00147263
55,24.6296,1.01785,0.84198,1.13614,0.90835,0.93281,0.99182,0.66988,1.19917,0.95649,1.26651,0.00146896,0.00146896,0.00146896
56,25.063,1.03485,0.79794,1.04215,0.91167,0.94374,0.99326,0.68343,1.14613,0.9292,1.20553,0.00146529,0.00146529,0.00146529
57,25.474,1.04423,0.8678,1.16853,0.91167,0.94374,0.99326,0.68343,1.14613,0.9292,1.20553,0.00146163,0.00146163,0.00146163
58,25.9231,1.06589,0.82666,1.15627,0.97718,0.99124,0.99068,0.74144,0.99744,0.89421,1.13952,0.00145796,0.00145796,0.00145796
59,26.3452,0.86797,0.83748,1.08852,0.97718,0.99124,0.99068,0.74144,0.99744,0.89421,1.13952,0.00145429,0.00145429,0.00145429
60,26.7806,0.88932,0.74499,1.01742,0.94845,0.96751,0.9856,0.68874,1.13993,0.97383,1.21958,0.00145062,0.00145062,0.00145062
61,27.1964,0.97374,0.81127,1.13462,0.94845,0.96751,0.9856,0.68874,1.13993,0.97383,1.21958,0.00144696,0.00144696,0.00144696
62,27.6267,1.03416,0.7693,1.1068,0.96941,0.90119,0.98146,0.65674,1.19236,0.98704,1.22752,0.00144329,0.00144329,0.00144329
63,28.0443,1.13959,0.73916,1.07363,0.96941,0.90119,0.98146,0.65674,1.19236,0.98704,1.22752,0.00143962,0.00143962,0.00143962
64,28.4757,0.91672,0.76441,1.05412,0.9876,0.925,0.98804,0.70042,1.07928,0.79842,1.15743,0.00143595,0.00143595,0.00143595
65,28.9043,0.93471,0.80149,1.09357,0.9876,0.925,0.98804,0.70042,1.07928,0.79842,1.15743,0.00143229,0.00143229,0.00143229
66,29.3291,0.86551,0.73393,1.02328,0.96626,0.975,0.99023,0.68348,1.13181,0.78075,1.17899,0.00142862,0.00142862,0.00142862
67,29.7469,0.91493,0.69259,1.0171,0.96626,0.975,0.99023,0.68348,1.13181,0.78075,1.17899,0.00142495,0.00142495,0.00142495
68,30.1771,0.9621,0.74334,1.03715,0.97609,0.99085,0.99262,0.73425,0.96676,0.74398,1.08987,0.00142128,0.00142128,0.00142128
69,30.5978,0.91688,0.79809,1.03513,0.97609,0.99085,0.99262,0.73425,0.96676,0.74398,1.08987,0.00141762,0.00141762,0.00141762
70,31.0268,0.92834,0.85196,1.04503,0.99213,0.90988,0.98724,0.75187,0.86937,0.85799,1.04073,0.00141395,0.00141395,0.00141395
